CNT,IC177Q01JA,IC177Q02JA,IC177Q03JA,IC177Q04JA,IC177Q05JA,IC177Q06JA,IC177Q07JA,IC178Q01JA,IC178Q02JA,IC178Q03JA,IC178Q04JA,IC178Q05JA,IC178Q06JA,IC178Q07JA,Math_mean,ST296Q01JA
HKG,4,4,3,4,4,4,4,3,3,3,3,3,3,3,395.764,1
HKG,1,2,3,1,2,2,2,1,2,3,1,3,1,2,507.0853,1
HKG,4,3,2,4,2,3,3,3,2,3,4,4,3,4,492.565,2
HKG,6,6,6,6,6,6,6,6,6,6,6,6,6,6,498.6089,2
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,606.7235,$null$
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,617.7937,$null$
HKG,3,3,3,3,3,3,3,5,5,5,5,5,5,5,511.4486,1
HKG,3,2,3,2,2,2,2,3,2,2,2,2,2,2,595.7026,1
HKG,4,2,3,3,5,5,2,5,5,5,3,5,3,2,504.8198,4
HKG,4,5,4,4,4,2,1,5,5,4,4,4,4,4,492.2289,2
HKG,5,3,5,2,5,2,3,5,3,5,2,5,2,4,620.1567,3
HKG,4,2,2,1,1,1,1,4,2,1,1,1,1,1,510.6238,4
HKG,4,4,3,2,3,2,1,2,3,2,2,3,4,3,638.1259,1
HKG,6,6,6,6,6,6,6,6,6,6,6,6,6,6,336.6159,6
HKG,6,6,6,6,6,6,6,6,6,6,6,6,6,6,434.2246,6
HKG,4,4,5,3,5,3,4,3,3,5,4,4,2,4,524.7398,3
HKG,3,3,3,1,3,4,5,3,3,4,4,3,4,4,421.2282,4
HKG,2,2,2,99,2,2,2,2,2,2,2,2,2,2,560.6305,1
HKG,3,2,1,2,2,2,2,3,3,1,2,2,1,2,366.4681,3
HKG,3,3,4,2,2,3,1,3,3,2,2,2,2,2,472.2593,2
HKG,1,4,3,1,4,1,1,4,4,4,2,4,2,2,555.7307,1
HKG,1,2,2,2,2,2,2,1,2,2,2,2,2,2,526.2248,1
HKG,2,2,2,2,2,2,2,2,2,2,2,2,2,2,363.0237,1
HKG,5,4,1,1,1,1,1,5,4,1,1,1,1,1,519.7123,3
HKG,3,2,3,2,2,3,2,3,3,4,2,2,3,2,588.0661,1
HKG,1,4,1,1,4,1,1,1,6,1,1,6,4,1,582.5953,3
HKG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,554.5624,2
HKG,2,4,3,2,4,3,2,2,4,2,2,5,2,2,377.3099,3
HKG,3,4,3,99,3,2,3,4,3,3,3,2,2,2,492.7181,4
HKG,6,6,6,2,6,1,1,6,6,6,2,6,1,1,368.5664,1
HKG,3,3,3,3,3,3,3,4,4,4,4,4,4,4,716.1253,2
HKG,1,3,3,2,2,2,2,2,4,4,4,4,4,4,657.9446,3
HKG,5,2,5,3,3,2,1,6,2,6,2,3,1,1,520.384,5
HKG,3,4,3,3,3,3,3,3,3,3,3,3,2,2,430.1719,3
HKG,4,4,1,3,3,3,4,4,3,1,1,5,4,5,538.2889,4
HKG,3,3,3,1,1,1,1,3,3,3,1,1,1,1,541.0441,3
HKG,3,3,3,3,3,3,3,3,3,3,3,3,3,3,521.4549,3
HKG,1,2,2,2,2,2,1,1,2,2,2,2,2,1,560.8525,2
HKG,3,2,2,2,2,2,1,3,2,2,99,1,2,1,704.3449,2
HKG,5,5,5,5,5,5,5,5,5,5,5,5,5,5,332.4895,1
HKG,3,2,2,1,1,2,1,3,2,2,2,2,2,2,621.0792,2
HKG,1,3,3,2,3,1,2,1,3,3,2,3,1,2,674.7403,2
HKG,3,3,4,1,1,1,1,4,4,5,1,1,3,1,654.6942,1
HKG,5,4,5,3,3,2,2,6,4,4,3,3,4,2,545.1869,1
HKG,5,2,2,1,1,1,1,5,2,2,1,1,1,1,684.6541,3
HKG,3,2,2,2,2,2,2,3,3,2,2,2,2,2,551.1001,3
HKG,2,3,3,2,3,2,1,2,4,4,2,4,1,1,503.6281,3
HKG,4,3,2,2,2,1,1,6,3,3,1,3,1,2,628.9226,1
HKG,3,2,2,2,2,2,2,3,2,2,2,2,2,2,456.6031,2
HKG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,609.0361,4
HKG,2,2,2,2,2,3,2,3,3,3,2,2,3,3,572.7846,1
HKG,2,2,2,2,1,1,1,3,3,2,1,1,1,2,536.6659,1
HKG,3,2,3,3,3,99,2,4,2,3,3,3,3,2,688.6354,1
HKG,3,4,3,3,4,2,1,3,4,3,3,4,2,2,595.6079,2
HKG,1,3,3,3,2,3,1,4,4,4,3,4,4,1,581.7791,6
HKG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,291.7958,6
HKG,3,3,2,2,2,2,1,4,4,2,2,2,1,1,598.5306,2
HKG,3,3,1,2,2,2,2,4,2,2,2,2,2,1,493.7555,3
HKG,3,2,2,1,2,2,2,3,2,2,1,99,2,2,602.7143,3
HKG,4,5,1,1,4,1,5,5,5,5,1,5,1,5,601.2313,2
HKG,2,2,3,3,2,3,2,2,2,3,3,2,2,2,625.6258,3
HKG,3,2,2,1,3,2,2,4,4,4,4,4,4,4,475.4324,3
HKG,4,4,1,2,1,1,1,5,5,1,1,1,1,1,656.9473,2
HKG,1,4,4,1,4,4,4,4,4,4,4,4,2,4,467.1011,4
HKG,5,5,5,5,2,5,2,6,1,6,1,1,1,2,537.6363,3
HKG,2,6,6,6,6,6,6,1,6,4,3,3,5,1,504.3705,2
HKG,4,2,3,2,1,2,2,3,2,3,2,1,2,1,669.5616,2
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,564.5317,$null$
HKG,5,5,5,5,5,5,5,5,1,5,1,2,1,3,676.9189,1
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,603.5998,$null$
HKG,99,4,99,99,99,99,99,99,5,99,99,99,99,99,535.3943,1
HKG,4,2,3,2,1,4,2,4,2,3,2,1,4,2,612.8013,4
HKG,6,6,6,6,6,1,1,6,6,6,6,6,1,1,512.3281,3
HKG,3,4,3,3,4,4,5,4,4,3,4,4,5,4,580.3105,2
HKG,2,4,2,2,2,2,2,2,4,2,2,3,2,2,692.4523,2
HKG,5,2,4,1,2,1,1,6,2,5,99,2,1,1,486.4863,3
HKG,3,3,3,3,2,1,1,3,3,3,3,2,1,1,587.3058,3
HKG,4,1,4,2,3,2,4,5,5,5,1,5,1,5,463.2474,2
HKG,4,4,3,3,4,2,2,4,4,3,2,4,2,2,657.0255,4
HKG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,564.5678,3
HKG,3,2,3,1,3,2,2,5,2,3,1,3,1,1,553.2596,1
HKG,4,3,3,2,3,1,1,4,5,4,2,2,1,1,635.5698,2
HKG,5,4,5,4,5,1,1,5,5,5,2,5,1,1,573.9427,1
HKG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,395.0527,1
HKG,3,3,3,2,3,2,1,3,4,3,4,3,4,1,535.8518,3
HKG,3,3,2,3,3,3,2,99,99,99,99,99,99,99,630.5548,3
HKG,5,3,3,3,3,3,3,5,4,4,4,4,4,4,717.7338,3
HKG,3,3,3,3,3,3,3,3,3,3,3,3,3,3,598.7556,1
HKG,5,2,1,1,1,1,1,5,2,1,1,1,1,1,599.467,2
HKG,5,5,5,5,5,5,5,5,6,5,5,5,99,5,469.2594,3
HKG,3,4,2,2,3,2,2,3,3,4,2,2,2,2,648.0127,4
HKG,4,3,3,1,3,3,1,4,3,3,1,3,1,1,611.384,2
HKG,3,3,3,3,3,3,3,3,3,3,3,3,3,3,476.8916,2
HKG,2,3,3,2,3,2,2,2,3,3,2,3,2,2,705.7715,2
HKG,1,3,2,2,1,2,1,2,3,2,2,1,1,1,560.4643,2
HKG,4,3,2,1,2,2,1,4,3,3,1,1,1,1,532.1479,4
HKG,5,5,5,5,5,5,5,5,5,5,5,5,5,5,456.3472,4
HKG,3,5,5,3,5,5,3,3,5,4,4,5,4,4,472.4695,2
HKG,4,4,3,3,4,2,2,4,4,3,2,3,2,2,596.5042,1
HKG,5,3,1,2,1,2,2,6,2,1,2,1,1,1,584.2943,1
HKG,3,3,3,1,3,3,1,4,4,4,1,4,1,1,623.7314,4
HKG,5,6,4,2,4,3,2,6,6,6,2,6,2,2,395.8715,1
HKG,3,3,3,3,3,3,3,3,3,3,3,3,3,3,375.3347,4
HKG,1,4,3,1,1,3,2,1,3,3,1,1,1,1,694.7402,2
HKG,3,3,3,3,3,1,1,4,4,4,4,4,2,1,668.4642,2
HKG,3,2,3,3,3,3,2,3,2,3,3,3,3,2,479.8038,2
HKG,1,2,3,2,3,2,1,1,2,2,1,3,2,1,570.5337,2
HKG,5,5,5,1,1,1,5,4,4,4,1,1,1,3,425.4325,1
HKG,3,2,3,3,3,3,3,3,2,3,3,3,3,3,606.2924,4
HKG,99,6,6,5,4,3,4,4,4,4,4,4,4,4,523.5169,1
HKG,5,2,2,2,2,2,2,6,2,2,2,2,2,2,641.9686,3
HKG,2,3,2,2,3,2,2,2,3,3,2,3,2,1,547.5271,2
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,550.8699,3
HKG,3,2,3,1,1,2,1,3,3,3,1,2,2,1,710.4508,2
HKG,4,3,3,3,3,3,2,4,2,3,1,1,1,1,517.0722,3
HKG,2,2,2,1,1,1,1,2,2,2,1,1,2,1,626.4938,2
HKG,1,5,4,3,5,3,3,1,5,4,3,5,1,1,717.1559,4
HKG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,417.0642,3
HKG,4,4,4,4,4,4,4,5,4,4,4,4,4,4,408.5047,2
HKG,1,3,2,2,2,2,3,1,3,3,2,2,2,3,713.6051,3
HKG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,447.113,6
HKG,3,3,3,3,3,3,3,3,3,3,3,3,3,3,435.2457,2
HKG,5,2,5,5,2,2,3,5,3,99,2,3,2,2,534.3482,2
HKG,4,2,4,4,4,4,4,3,3,3,3,3,3,3,614.2312,2
HKG,3,2,99,1,2,1,1,3,2,6,1,2,1,1,470.5244,1
HKG,3,4,4,4,4,4,4,3,4,4,4,4,4,4,698.1047,3
HKG,1,2,2,2,2,2,2,1,2,2,2,2,2,2,576.6417,2
HKG,5,5,5,5,5,5,5,6,6,6,6,6,6,6,369.5584,1
HKG,3,4,4,2,4,2,2,3,4,4,4,4,2,2,381.6188,2
HKG,2,3,3,2,3,3,2,3,3,3,3,3,3,2,407.7687,3
HKG,4,3,4,3,3,3,3,4,3,3,3,3,3,3,608.6075,2
HKG,3,4,4,2,4,4,4,2,4,4,4,4,4,4,487.3551,2
HKG,3,2,5,3,2,3,1,4,3,5,3,2,3,1,658.2792,5
HKG,2,4,3,2,3,1,2,3,4,3,2,3,2,1,634.1656,1
HKG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,519.5981,4
HKG,3,2,3,1,3,1,2,3,2,3,1,4,1,2,587.8667,1
HKG,3,3,2,2,3,2,1,3,3,3,2,3,2,1,655.3655,3
HKG,3,2,6,3,2,2,1,3,3,6,3,3,3,1,556.111,2
HKG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,436.6935,1
HKG,4,5,5,1,99,1,1,3,3,3,2,3,2,1,623.4054,3
HKG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,612.9725,2
HKG,3,2,3,1,4,2,3,3,2,3,1,5,3,3,645.0245,3
HKG,5,5,5,5,5,5,5,5,5,5,5,5,5,5,386.9682,2
HKG,5,3,3,2,2,1,1,5,4,3,2,2,1,1,620.0316,2
HKG,4,4,4,4,4,4,4,3,3,3,3,3,3,3,380.7917,2
HKG,5,5,5,5,5,5,5,5,5,5,5,5,5,5,403.829,1
HKG,3,3,3,3,3,3,3,3,3,3,3,3,3,3,560.6983,1
HKG,3,2,3,2,3,2,2,3,3,2,2,1,2,1,380.292,1
HKG,2,2,2,2,2,3,2,3,3,3,3,3,3,3,507.839,3
HKG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,481.8109,3
HKG,4,2,2,2,2,2,1,3,3,3,2,3,2,1,515.5692,3
HKG,2,3,3,3,3,2,2,2,4,4,2,4,2,2,554.7961,3
HKG,3,3,2,2,2,3,4,3,2,2,2,3,3,2,318.262,1
HKG,2,3,2,2,3,1,1,2,3,2,2,3,1,1,531.6989,1
HKG,3,3,3,3,3,3,3,99,99,99,99,99,99,99,562.2437,3
HKG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,583.977,1
HKG,3,3,3,3,3,3,3,4,4,4,4,4,4,4,408.664,3
HKG,3,3,3,2,2,2,1,3,3,3,3,3,2,1,520.3846,3
HKG,3,3,3,3,1,1,1,4,1,3,1,1,1,1,503.0221,2
HKG,3,3,3,3,3,3,3,3,3,3,3,3,3,3,535.453,1
HKG,2,5,4,2,5,3,2,6,5,5,2,4,2,4,639.339,1
HKG,2,99,99,99,99,99,99,99,99,99,99,99,99,99,485.4102,1
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,685.5179,$null$
HKG,3,1,2,1,1,3,1,4,1,3,1,1,4,1,655.768,2
HKG,3,2,3,2,2,3,3,3,2,3,2,2,2,2,547.84,1
HKG,3,2,2,2,2,3,1,3,2,2,2,2,2,1,670.4328,2
HKG,4,4,4,4,4,4,2,4,4,4,4,4,4,3,479.1082,3
HKG,3,2,3,2,2,2,2,4,2,2,2,2,2,2,726.1854,2
HKG,5,6,2,3,3,3,3,3,3,3,3,3,3,3,385.6687,1
HKG,2,2,2,2,2,2,2,3,2,2,2,2,2,3,690.2151,2
HKG,3,3,3,2,3,3,3,3,3,3,3,3,3,3,451.9853,2
HKG,2,3,1,1,1,1,2,2,3,1,1,1,1,1,686.0202,3
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,519.8498,2
HKG,6,6,4,2,5,2,2,6,6,2,2,6,2,2,490.2805,3
HKG,1,3,2,2,3,2,1,1,3,2,1,3,1,1,520.9656,3
HKG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,457.2568,3
HKG,3,3,1,1,3,1,1,3,3,1,1,3,1,1,453.7804,2
HKG,5,99,5,3,2,1,1,5,3,5,3,3,1,1,636.0651,1
HKG,4,3,4,2,3,2,1,4,3,4,1,3,1,1,620.3988,2
HKG,3,3,1,1,1,1,3,6,6,1,1,1,1,3,372.2555,1
HKG,1,3,3,2,2,2,1,1,4,3,2,1,4,1,575.284,3
HKG,4,1,4,3,2,2,1,5,1,3,3,1,3,1,636.2728,2
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,551.0448,$null$
HKG,3,3,3,3,3,3,3,3,3,3,3,3,3,3,655.2824,2
HKG,4,3,4,3,2,3,2,4,4,3,2,2,2,2,652.6271,2
HKG,3,3,4,2,3,2,1,3,3,3,3,3,3,3,559.5879,2
HKG,4,3,3,3,3,3,1,4,4,4,3,3,3,1,565.3816,1
HKG,1,4,3,3,4,2,1,1,5,3,3,5,2,1,579.5031,3
HKG,3,3,3,1,1,1,1,3,3,3,1,1,1,1,615.4792,2
HKG,4,3,5,5,1,3,5,5,3,5,5,5,5,5,516.4772,3
HKG,2,2,4,2,2,2,1,2,3,4,2,2,2,2,547.7755,3
HKG,4,3,1,3,2,1,1,2,2,1,1,2,1,1,495.3212,2
HKG,3,2,2,2,2,1,1,3,2,2,2,2,1,1,736.4225,3
HKG,4,2,2,2,2,2,2,6,2,2,2,2,2,2,598.6258,1
HKG,4,4,4,2,3,4,4,3,3,3,3,3,3,2,525.0014,3
HKG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,418.2722,1
HKG,2,2,2,2,2,2,2,3,3,3,3,3,3,3,607.7297,3
HKG,3,3,3,3,3,3,3,3,3,3,3,3,2,2,432.6305,3
HKG,2,3,3,2,3,2,1,2,3,3,2,3,2,1,620.7595,2
HKG,3,2,3,3,2,3,1,3,2,3,3,3,2,1,585.9636,1
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,482.384,$null$
HKG,1,3,3,1,3,1,1,1,3,3,1,3,1,1,656.6042,1
HKG,3,3,3,1,2,1,1,3,3,3,2,2,1,1,456.7339,3
HKG,5,3,4,2,1,2,2,6,4,5,2,1,2,2,605.169,2
HKG,4,3,3,2,2,1,1,5,4,3,2,2,1,1,623.3352,2
HKG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,290.5988,2
HKG,2,2,2,2,2,2,2,2,3,3,3,3,3,2,585.0271,1
HKG,6,6,6,6,6,2,6,2,2,99,99,99,99,99,310.323,3
HKG,4,4,4,2,99,3,2,6,6,6,6,6,2,2,371.3597,2
HKG,1,3,3,2,3,3,2,1,4,3,2,2,2,1,631.5398,2
HKG,1,6,6,1,1,1,1,1,6,6,1,1,1,1,538.8351,1
HKG,5,3,5,4,3,3,3,2,2,2,2,2,4,3,450.2594,1
HKG,5,2,1,1,1,1,1,5,2,1,1,1,1,1,560.7541,4
HKG,2,2,3,1,3,1,2,2,2,2,2,3,2,4,702.5665,4
HKG,5,5,5,5,5,5,5,6,5,5,4,5,4,2,566.7032,6
HKG,4,2,3,2,2,3,1,3,2,3,2,2,2,1,634.6169,5
HKG,1,3,3,3,3,4,1,1,2,4,3,3,3,1,677.3431,3
HKG,3,4,2,2,4,2,1,5,5,2,2,5,5,2,641.8459,4
HKG,1,1,2,1,1,3,2,1,1,2,1,1,3,2,791.3145,1
HKG,3,3,4,2,3,3,2,3,3,5,2,3,2,5,648.1572,1
HKG,2,2,2,2,2,2,2,2,3,2,3,2,2,3,499.2867,1
HKG,4,4,4,3,2,4,2,6,6,6,4,2,3,2,579.6464,2
HKG,3,3,3,3,3,3,3,4,4,4,4,4,4,4,629.2885,3
HKG,3,2,2,1,1,1,1,5,2,1,1,1,1,2,652.7996,2
HKG,4,4,3,3,3,3,3,4,4,4,3,3,3,3,404.5956,6
HKG,3,2,2,1,1,1,1,3,2,1,1,1,1,1,617.7228,1
HKG,3,3,3,3,3,3,3,3,3,3,3,3,3,3,574.13,3
HKG,3,4,4,2,3,4,4,5,4,4,3,3,4,4,390.2797,1
HKG,6,6,6,6,6,6,6,6,6,6,6,6,6,6,320.2105,1
HKG,2,3,3,2,2,2,2,3,3,3,1,2,1,2,590.6322,4
HKG,2,4,4,2,4,2,2,4,3,4,2,5,2,2,606.4707,2
HKG,4,1,4,1,2,2,1,4,1,4,1,1,1,1,545.3069,2
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,542.9602,$null$
HKG,6,6,4,1,4,1,3,6,6,4,1,4,1,3,553.3787,1
HKG,3,3,3,3,3,3,3,3,3,3,3,3,3,3,578.4298,2
HKG,5,5,5,5,5,5,1,5,5,5,5,5,5,1,520.882,4
HKG,4,3,4,2,3,1,1,5,4,4,2,4,2,1,507.1917,3
HKG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,540.6279,2
HKG,2,2,3,2,1,2,2,4,3,3,2,1,2,2,537.0085,2
HKG,1,6,6,1,6,2,1,1,6,6,1,6,6,1,314.089,1
HKG,2,4,4,3,4,3,3,3,4,4,3,4,3,3,592.3935,2
HKG,4,4,4,1,4,2,1,4,4,4,1,4,2,1,420.449,3
HKG,4,4,4,3,4,4,2,4,4,4,2,4,4,2,515.943,3
HKG,4,4,3,3,3,3,1,4,4,3,3,3,1,1,541.3407,2
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,583.6194,$null$
HKG,1,4,2,2,3,3,3,1,4,3,2,2,2,2,626.1432,4
HKG,5,4,5,5,5,4,5,5,5,4,4,4,5,5,457.9116,3
HKG,1,5,1,2,5,1,2,5,5,5,2,5,1,2,447.6768,1
HKG,2,3,3,2,3,1,1,3,3,4,99,3,1,1,603.3334,2
HKG,5,3,5,1,5,4,6,6,3,6,1,2,6,6,472.8241,6
HKG,4,1,1,1,1,1,1,4,1,1,1,1,1,1,423.4217,1
HKG,3,2,2,3,2,3,2,4,3,2,3,2,3,2,500.1029,2
HKG,4,2,3,1,1,1,1,4,2,3,1,1,1,1,738.3877,2
HKG,6,2,4,2,2,3,1,6,2,3,2,2,3,1,545.7712,1
HKG,3,4,5,5,4,4,5,3,3,4,4,5,4,4,630.8692,3
HKG,2,3,3,3,3,2,2,3,4,3,3,4,1,1,580.8024,3
HKG,3,3,3,3,3,3,3,3,3,3,3,3,3,3,542.3992,4
HKG,3,4,3,3,3,4,2,3,4,2,3,2,2,2,511.1065,2
HKG,2,2,3,3,3,2,2,3,3,3,2,2,3,2,617.3186,1
HKG,4,3,2,2,2,2,3,4,2,3,2,3,3,3,562.7959,4
HKG,4,6,5,5,6,4,6,6,6,5,5,6,6,5,510.1511,2
HKG,4,4,4,4,4,4,4,2,2,2,2,2,2,2,325.9862,4
HKG,3,3,3,2,2,1,1,2,3,1,1,3,1,1,445.5752,3
HKG,3,2,3,1,2,2,1,4,3,3,1,2,2,1,498.673,1
HKG,4,4,4,4,3,3,1,4,4,4,4,4,2,1,658.869,3
HKG,4,4,4,3,3,3,3,3,3,3,2,2,2,2,696.4239,3
HKG,5,5,5,5,5,5,5,4,4,4,4,4,4,4,371.6503,1
HKG,2,3,1,2,1,1,1,2,3,2,2,1,1,1,663.6565,2
HKG,2,2,2,2,2,2,2,3,2,2,2,2,2,1,767.6025,1
HKG,2,3,2,2,1,1,1,2,2,2,2,1,1,1,587.7973,1
HKG,6,6,6,6,6,1,1,6,6,6,6,6,1,1,449.3278,1
HKG,1,2,1,1,1,1,1,2,2,1,1,1,1,3,440.6597,3
HKG,6,5,4,3,2,1,4,2,2,3,3,4,4,3,390.8058,1
HKG,2,2,1,1,1,1,2,4,2,2,2,2,2,2,511.5619,1
HKG,2,1,2,2,2,2,1,2,1,2,2,2,2,1,627.0844,1
HKG,2,3,3,2,3,2,2,2,3,4,4,2,3,3,593,2
HKG,4,3,3,1,3,1,1,4,4,4,1,4,1,1,764.5304,3
HKG,3,2,3,1,1,1,1,4,2,2,1,1,1,1,512.4708,2
HKG,3,3,3,3,3,3,3,3,2,3,3,3,3,3,341.1721,1
HKG,3,3,3,3,3,3,3,3,3,3,3,3,3,3,454.3172,3
HKG,3,2,2,2,2,2,6,3,3,3,3,2,3,6,417.3847,1
HKG,4,3,3,3,3,1,1,3,2,2,1,2,1,1,566.9726,3
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,640.0977,$null$
HKG,3,4,3,2,3,2,1,4,3,2,1,2,2,1,650.619,2
HKG,2,2,2,2,2,2,2,2,2,2,2,2,2,2,534.9565,3
HKG,4,2,4,1,1,1,3,4,2,4,1,1,1,3,620.549,1
HKG,3,2,4,1,1,1,1,3,2,4,2,1,1,1,723.8258,4
HKG,3,3,2,3,3,2,2,2,4,4,2,3,2,2,595.6438,4
HKG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,523.081,2
HKG,5,4,2,1,2,2,1,4,4,4,1,1,1,1,567.3574,1
HKG,3,4,3,1,4,1,1,6,4,3,1,4,1,1,656.7533,2
HKG,2,1,1,1,2,1,1,1,1,1,1,1,1,1,502.6299,4
HKG,4,4,4,3,4,3,3,4,4,4,3,4,4,4,638.2535,2
HKG,1,6,6,1,1,4,1,1,3,3,1,1,2,1,531.7294,2
HKG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,335.2721,2
HKG,3,3,3,3,3,3,1,3,3,3,3,4,1,1,631.6035,2
HKG,4,4,4,5,5,5,5,4,4,4,4,4,4,4,469.1472,3
HKG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,399.6556,1
HKG,2,3,3,3,3,4,1,3,3,2,3,3,2,3,526.6825,4
HKG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,400.5672,2
HKG,4,4,4,1,4,1,1,6,6,6,1,6,1,1,393.1609,1
HKG,2,2,3,3,3,3,3,2,3,3,3,3,3,3,624.6887,4
HKG,2,2,2,2,2,2,2,2,2,2,2,2,2,2,601.7725,2
HKG,1,2,3,2,1,1,1,3,2,2,1,1,2,1,628.6528,1
HKG,4,2,3,1,4,2,5,5,5,3,1,4,4,5,298.3326,2
HKG,4,2,1,1,2,1,1,4,4,3,1,3,2,1,523.6038,2
HKG,99,99,99,99,99,99,99,4,4,4,4,4,4,4,267.4087,1
HKG,3,3,3,2,3,3,2,4,3,3,2,3,2,2,564.1238,3
HKG,3,2,2,2,2,3,1,5,2,2,1,1,5,1,609.2014,1
HKG,4,2,3,1,1,1,3,5,2,3,1,1,1,3,731.8642,2
HKG,3,3,3,3,2,2,2,4,2,3,2,2,2,1,682.8819,3
HKG,4,4,3,3,4,3,3,4,4,4,4,4,4,4,513.3181,1
HKG,6,4,1,3,6,1,1,6,6,6,6,6,6,6,415.2316,2
HKG,3,3,3,3,3,3,3,4,4,4,3,4,3,3,558.5927,3
HKG,3,3,3,4,4,4,4,3,4,99,4,4,4,4,425.8205,1
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,523.0651,$null$
HKG,6,5,6,5,4,5,1,6,5,5,5,4,2,1,383.8459,1
HKG,4,4,4,4,4,3,4,99,4,4,4,4,4,4,352.0504,2
HKG,3,6,6,6,6,6,6,99,99,99,99,99,99,99,418.4783,2
HKG,5,5,5,5,5,3,3,5,5,5,5,5,3,3,615.9526,1
HKG,1,4,2,3,5,3,1,2,5,3,3,5,2,2,662.0685,1
HKG,4,4,3,2,3,2,2,4,5,4,3,4,2,2,494.7876,1
HKG,3,4,4,3,3,3,3,4,3,4,2,3,3,4,447.9619,2
HKG,3,2,2,1,1,1,1,3,2,2,1,1,1,1,613.5679,2
HKG,4,3,1,1,1,1,1,4,3,1,1,1,1,1,489.895,1
HKG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,354.0505,1
HKG,1,1,1,1,1,1,1,4,2,1,1,3,1,1,509.0935,3
HKG,3,3,3,2,3,1,2,4,3,3,2,3,1,2,559.8299,1
HKG,3,3,3,2,3,2,1,3,3,3,1,2,1,1,615.121,2
HKG,3,4,5,2,4,3,99,5,6,6,3,6,6,6,515.2327,1
HKG,4,3,3,3,3,2,2,5,3,3,3,3,2,2,624.9755,3
HKG,3,3,3,3,3,3,3,3,3,3,3,3,3,3,554.9349,3
HKG,2,4,3,2,4,1,1,1,6,3,2,6,2,2,698.0561,1
HKG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,397.1431,1
HKG,5,4,5,5,4,5,4,4,5,5,4,5,4,5,535.2478,4
HKG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,492.2367,2
HKG,2,2,2,3,3,1,1,2,3,2,3,2,2,1,504.9154,2
HKG,6,6,6,6,6,5,5,5,5,5,5,4,4,5,399.7601,3
HKG,1,3,2,1,1,1,1,4,99,2,1,1,1,1,648.8506,2
HKG,1,3,3,1,3,3,3,1,3,3,1,3,1,1,393.4145,2
HKG,4,4,4,4,4,4,4,4,4,4,4,4,1,1,388.5166,6
HKG,6,5,3,2,5,2,2,6,6,3,2,2,2,2,645.2571,1
HKG,3,3,3,2,2,2,1,3,3,3,2,2,2,1,719.4926,2
HKG,2,2,2,1,2,2,2,2,2,2,2,2,3,2,555.2751,3
HKG,1,3,4,2,3,1,1,1,3,4,2,2,1,1,594.1489,3
HKG,1,1,1,2,1,1,1,1,1,1,2,1,1,1,535.0068,3
